,phrase,label,sentiment,subjectivity,language,count
Mansur Yavaş,Mansur Yavaş,PERSON,-0.07589285714285715,0.22767857142857142,en,2.8
İslam Memiş,İslam Memiş,PERSON,0.0,0.0,en,1.9
İbrahim Hayri Barut,İbrahim Hayri Barut,PERSON,0.0,0.06578947368421052,en,1.9
Hande Ataizi,Hande Ataizi,PERSON,0.0,0.0,en,1.9
Özgür Özel,Özgür Özel,PERSON,0.0,0.0,en,1.9
Merve İldeniz,Merve İldeniz,PERSON,0.3815789473684211,0.5,en,1.9
Şener Üşümezsoy,Şener Üşümezsoy,PERSON,0.1049641148325359,0.4529505582137161,en,1.9
Cevdet Yılmaz,Cevdet Yılmaz,PERSON,0.32565789473684215,0.5208333333333334,en,1.9
Özgür Karaoğlu,Özgür Karaoğlu,PERSON,0.24509803921568626,0.3480392156862746,en,1.7
Esra Toptaş,Esra Toptaş,PERSON,0.0,0.0,en,1.7
Özgür Efendi,Özgür Efendi,PERSON,0.0,0.0,en,1.0
İbrahim Batur Barut,İbrahim Batur Barut,PERSON,0.0,0.125,en,1.0
Şahin Şahbaz,Şahin Şahbaz,PERSON,0.05000000000000002,0.5,en,1.0
İbrahim Kayaaslan,İbrahim Kayaaslan,PERSON,0.0,0.0,en,1.0
Ali Ebu Zur,Ali Ebu Zur,PERSON,-0.2833333333333333,0.7916666666666666,en,1.0
Devlet Bahçeli,Devlet Bahçeli,PERSON,0.6000000000000001,0.9,en,1.0
Şükrü Küçükşahin,Şükrü Küçükşahin,PERSON,0.6000000000000001,0.9,en,1.0
Tayyip Erdoğan,Tayyip Erdoğan,PERSON,0.6000000000000001,0.9,en,1.0
USS Abraham Lincoln,USS Abraham Lincoln,PERSON,0.0,0.0,en,1.0
Özgür Efen,Özgür Efen,PERSON,0.0,0.0,en,1.0
Raşit Yıldırım,Raşit Yıldırım,PERSON,-0.10555555555555556,0.638888888888889,en,1.0
Saime Kayaaslan,Saime Kayaaslan,PERSON,0.0,0.0,en,1.0
Hayri Soylu,Hayri Soylu,PERSON,0.0,0.0,en,1.0
Mehmet Yuva,Mehmet Yuva,PERSON,0.0,0.1,en,1.0
Metin Arolat,Metin Arolat,PERSON,0.19999999999999998,0.5190476190476191,en,1.0
Mahmoud al-Akra,Mahmoud al-Akra,PERSON,-0.125,0.5650000000000001,en,1.0
Deir Belah,Deir Belah,PERSON,-0.125,0.5650000000000001,en,1.0
Deniz Ataç,Deniz Ataç,PERSON,0.7,0.6000000000000001,en,1.0
Iğdır FK,Iğdır FK,PERSON,0.0,0.0,en,1.0
Recep Tayyip Erdoğan,Recep Tayyip Erdoğan,PERSON,0.13636363636363635,0.45454545454545453,en,1.0
Tommaso Della Longa,Tommaso Della Longa,PERSON,-0.04,0.1,en,1.0
Özgür Karoğlu,Özgür Karoğlu,PERSON,0.0,0.4,en,1.0
Balıkesir Sındırgı,Balıkesir Sındırgı,PERSON,0.75,0.75,en,1.0
Storm Kristin,Storm Kristin,PERSON,0.125,0.2916666666666667,en,1.0
